 Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6
30B;29;13701;13800;2254;2382;1065;442;3243;3243
30B;29;13801;13900;2280;2411;1074;466;3274;3274
30B;29;13901;14000;2306;2443;1084;493;3308;3308
30B;29;14001;14100;2332;2474;1085;519;3339;3339
30B;29;14101;14200;2358;2508;1095;548;3371;3371
30B;29;14201;14300;2384;2539;1105;574;3402;3402
30B;29;14301;14400;2410;2571;1114;601;3434;3434
30B;29;14401;14500;2436;2602;1124;627;3467;3467
30B;29;14501;14600;2462;2634;1134;654;3499;3499
30B;29;14601;14700;2488;2668;1135;683;3530;3530
30B;29;14701;14800;2514;2699;1145;709;3562;3562
30B;29;14801;14900;2540;2730;1154;735;3593;3593
30B;29;14901;15000;2566;2762;1164;762;3627;3627
30B;29;15001;15100;2592;2793;1173;788;3658;3658
30B;29;15101;15200;2618;2827;1183;817;3690;3690
30B;29;15201;15300;2644;2858;1193;843;3721;3721
30B;29;15301;15400;2670;2890;1194;870;3753;3753
30B;29;15401;15500;2696;2921;1204;896;3786;3786
30B;29;15501;15600;2722;2953;1213;923;3818;3818
30B;29;15601;15700;2748;2987;1223;952;3849;3849
30B;29;15701;15800;2774;3018;1233;978;3881;3881
30B;29;15801;15900;2800;3049;1242;1004;3912;3912
30B;29;15901;16000;2826;3081;1244;1031;3946;3946
30B;29;16001;16100;2852;3112;1253;1057;3977;3977
30B;29;16101;16200;2878;3146;1263;1086;4009;4009
30B;29;16201;16300;2904;3177;1273;1112;4040;4040
30B;29;16301;16400;2930;3209;1282;1139;4072;4072
30B;29;16401;16500;2957;3240;1292;1165;4105;4105
30B;29;16501;16600;2983;3272;1293;1192;4137;4137
30B;29;16601;16700;3009;3306;1303;1221;4168;4168
30B;29;16701;16800;3035;3337;1313;1247;4200;4200
30B;29;16801;16900;3061;3368;1322;1273;4231;4231
30B;29;16901;17000;3087;3400;1332;1300;4265;4265
30B;29;17001;17100;3113;3431;1342;1326;4296;4296
30B;29;17101;17200;3139;3465;1355;1355;4328;4328
30B;29;17201;17300;3165;3496;1381;1381;4359;4359
30B;29;17301;17400;3191;3528;1408;1408;4391;4391
30B;29;17401;17500;3217;3559;1434;1434;4424;4424
30B;29;17501;17600;3243;3591;1461;1461;4456;4456
30B;29;17601;17700;3269;3625;1490;1490;4487;4487
30B;29;17701;17800;3295;3656;1516;1516;4519;4519
30B;29;17801;17900;3321;3687;1542;1542;4550;4550
30B;29;17901;18000;3347;3719;1569;1569;4584;4584
30B;29;18001;18100;3373;3750;1595;1595;4615;4615
30B;29;18101;18200;3399;3784;1624;1624;4647;4647
30B;29;18201;18300;3425;3815;1650;1650;4678;4678
30B;29;18301;18400;3451;3847;1677;1677;4710;4710
30B;29;18401;18500;3477;3878;1703;1703;4743;4743
30B;29;18501;18600;3503;3910;1730;1730;4775;4775
30B;29;18601;18700;3529;3944;1759;1759;4806;4806
30B;29;18701;18800;3555;3975;1785;1785;4838;4838
30B;29;18801;18900;3581;4006;1811;1811;4869;4869
30B;29;18901;19000;3607;4038;1838;1838;4903;4903
30B;29;19001;19100;3633;4069;1864;1864;4934;4934
30B;29;19101;19200;3659;4103;1893;1893;4966;4966
30B;29;19201;19300;3686;4134;1919;1919;4997;4997
30B;29;19301;19400;3712;4166;1946;1946;5029;5029
30B;29;19401;19500;3738;4197;1972;1972;5062;5062
30B;29;19501;19600;3764;4229;1999;1999;5094;5094
30B;29;19601;19700;3790;4263;2028;2028;5125;5125
30B;29;19701;19800;3816;4294;2054;2054;5157;5157
30B;29;19801;19900;3842;4325;2080;2080;5188;5188
30B;29;19901;20000;3868;4357;2107;2107;5222;5222
30B;29;20001;20200;3920;4420;2160;2160;5285;5285
30B;29;20201;20400;3972;4482;2212;2212;5348;5348
30B;29;20401;20600;4024;4548;2268;2268;5413;5413
30B;29;20601;20800;4076;4611;2321;2321;5476;5476
30B;29;20801;21000;4128;4673;2373;2373;5541;5541
30B;29;21001;21200;4180;4736;2426;2426;5604;5604
30B;29;21201;21400;4232;4799;2479;2479;5667;5667
30B;29;21401;21600;4284;4862;2532;2532;5732;5732
30B;29;21601;21800;4336;4925;2585;2585;5795;5795
30B;29;21801;22000;4388;4990;2640;2640;5860;5860
30B;29;22001;22200;4441;5053;2693;2693;5923;5923
30B;29;22201;22400;4493;5116;2746;2746;5986;5986
30B;29;22401;22600;4545;5178;2798;2798;6051;6051
30B;29;22601;22800;4597;5241;2851;2851;6114;6114
30B;29;22801;23000;4649;5304;2904;2904;6179;6179
30B;29;23001;23200;4701;5369;2959;2959;6242;6242
30B;29;23201;23400;4753;5432;3012;3012;6305;6305
30B;29;23401;23600;4805;5495;3065;3065;6370;6370
30B;29;23601;23800;4857;5558;3118;3118;6433;6433
30B;29;23801;24000;4909;5621;3171;3171;6498;6498
30B;29;24001;24200;4961;5684;3224;3224;6561;6561
30B;29;24201;24400;5013;5749;3279;3279;6624;6624
30B;29;24401;24600;5065;5812;3332;3332;6689;6689
30B;29;24601;24800;5117;5874;3384;3384;6752;6752
30B;29;24801;25000;5170;5937;3437;3437;6817;6817
30B;29;25001;25200;5222;6000;3500;3500;6880;6880
30B;29;25201;25400;5274;6063;3563;3563;6943;6943
30B;29;25401;25600;5326;6128;3628;3628;7008;7008
30B;29;25601;25800;5378;6191;3691;3691;7071;7071
30B;29;25801;26000;5430;6254;3754;3754;7136;7136
30B;29;26001;26200;5482;6317;3817;3817;7199;7199
30B;29;26201;26400;5534;6380;3880;3880;7262;7262
30B;29;26401;26600;5586;6442;3942;3942;7327;7327
30B;29;26601;26800;5638;6505;4005;4005;7390;7390
30B;29;26801;27000;5690;6570;4070;4070;7455;7455
30B;29;27001;27200;5742;6633;4133;4133;7518;7518
30B;29;27201;27400;5794;6696;4196;4196;7581;7581
30B;29;27401;27600;5846;6759;4259;4259;7646;7646
30B;29;27601;27800;5898;6822;4322;4322;7709;7709
30B;29;27801;28000;5951;6885;4385;4385;7774;7774
30B;29;28001;28200;6003;6950;4450;4450;7837;7837
30B;29;28201;28400;6055;7013;4513;4513;7900;7900
30B;29;28401;28600;6107;7076;4576;4576;7965;7965
30B;29;28601;28800;6159;7138;4638;4638;8028;8028
30B;29;28801;29000;6211;7201;4701;4701;8093;8093
30B;29;29001;29200;6263;7264;4764;4764;8153;8153
30B;29;29201;29400;6315;7329;4829;4829;8211;8211
30B;29;29401;29600;6366;7392;4892;4892;8269;8269
30B;29;29601;29800;6418;7455;4955;4955;8327;8327
30B;29;29801;30000;6475;7518;5018;5018;8385;8385
30B;29;30001;30200;6533;7581;5081;5081;8443;8443
30B;29;30201;30400;6591;7643;5143;5143;8501;8501
30B;29;30401;30600;6649;7709;5209;5209;8559;8559
30B;29;30601;30800;6707;7772;5272;5272;8617;8617
30B;29;30801;31000;6765;7834;5334;5334;8675;8675
30B;29;31001;31200;6823;7897;5397;5397;8733;8733
30B;29;31201;31400;6881;7960;5460;5460;8791;8791
30B;29;31401;31600;6939;8023;5523;5523;8849;8849
30B;29;31601;31800;6997;8086;5586;5586;8907;8907
30B;29;31801;32000;7055;8151;5651;5651;8965;8965
30B;29;32001;32200;7113;8214;5714;5714;9023;9023
30B;29;32201;32400;7171;8277;5777;5777;9081;9081
30B;29;32401;32600;7229;8339;5839;5839;9139;9139
30B;29;32601;32800;7287;8402;5902;5902;9197;9197
30B;29;32801;33000;7345;8465;5965;5965;9255;9255
30B;29;33001;33200;7403;8530;6030;6030;9313;9313
30B;29;33201;33400;7461;8593;6093;6093;9371;9371
30B;29;33401;33600;7519;8656;6156;6156;9429;9429
30B;29;33601;33800;7577;8719;6219;6219;9487;9487
30B;29;33801;34000;7635;8782;6282;6282;9545;9545
30B;29;34001;34200;7693;8845;6345;6345;9603;9603
30B;29;34201;34400;7751;8910;6410;6410;9661;9661
30B;29;34401;34600;7809;8973;6473;6473;9719;9719
30B;29;34601;34800;7867;9035;6535;6535;9777;9777
30B;29;34801;35000;7925;9098;6598;6598;9835;9835
30B;29;35001;35200;7983;9161;6661;6661;9893;9893
30B;29;35201;35400;8041;9224;6724;6724;9951;9951
30B;29;35401;35600;8099;9289;6789;6789;10009;10009
30B;29;35601;35800;8157;9352;6852;6852;10067;10067
30B;29;35801;36000;8215;9415;6915;6915;10125;10125
30B;29;36001;36200;8273;9478;6978;6978;10183;10183
30B;29;36201;36400;8331;9541;7041;7041;10241;10241
