 Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6
30B;32;12801;12900;2224;2341;987;446;3261;3261
30B;32;12901;13000;2253;2373;997;473;3298;3298
30B;32;13001;13100;2282;2405;1006;500;3333;3333
30B;32;13101;13200;2310;2437;1016;527;3368;3368
30B;32;13201;13300;2339;2469;1025;554;3402;3402
30B;32;13301;13400;2368;2501;1035;581;3437;3437
30B;32;13401;13500;2396;2533;1036;608;3474;3474
30B;32;13501;13600;2425;2565;1046;635;3509;3509
30B;32;13601;13700;2454;2597;1055;662;3544;3544
30B;32;13701;13800;2482;2629;1065;689;3578;3578
30B;32;13801;13900;2511;2661;1074;716;3613;3613
30B;32;13901;14000;2540;2696;1084;746;3650;3650
30B;32;14001;14100;2569;2730;1085;775;3685;3685
30B;32;14101;14200;2597;2768;1095;808;3720;3720
30B;32;14201;14300;2626;2802;1105;837;3754;3754
30B;32;14301;14400;2655;2837;1114;867;3789;3789
30B;32;14401;14500;2683;2872;1124;897;3826;3826
30B;32;14501;14600;2712;2906;1134;926;3861;3861
30B;32;14601;14700;2741;2944;1135;959;3896;3896
30B;32;14701;14800;2769;2978;1145;988;3930;3930
30B;32;14801;14900;2798;3013;1154;1018;3965;3965
30B;32;14901;15000;2827;3048;1164;1048;4002;4002
30B;32;15001;15100;2856;3082;1173;1077;4037;4037
30B;32;15101;15200;2884;3120;1183;1110;4072;4072
30B;32;15201;15300;2913;3154;1193;1139;4106;4106
30B;32;15301;15400;2942;3189;1194;1169;4141;4141
30B;32;15401;15500;2970;3224;1204;1199;4178;4178
30B;32;15501;15600;2999;3258;1228;1228;4213;4213
30B;32;15601;15700;3028;3296;1261;1261;4248;4248
30B;32;15701;15800;3056;3330;1290;1290;4282;4282
30B;32;15801;15900;3085;3365;1320;1320;4317;4317
30B;32;15901;16000;3114;3400;1350;1350;4354;4354
30B;32;16001;16100;3143;3434;1379;1379;4389;4389
30B;32;16101;16200;3171;3472;1412;1412;4424;4424
30B;32;16201;16300;3200;3506;1441;1441;4458;4458
30B;32;16301;16400;3229;3541;1471;1471;4493;4493
30B;32;16401;16500;3257;3576;1501;1501;4530;4530
30B;32;16501;16600;3286;3610;1530;1530;4565;4565
30B;32;16601;16700;3315;3648;1563;1563;4600;4600
30B;32;16701;16800;3343;3682;1592;1592;4634;4634
30B;32;16801;16900;3372;3717;1622;1622;4669;4669
30B;32;16901;17000;3401;3752;1652;1652;4706;4706
30B;32;17001;17100;3430;3786;1681;1681;4741;4741
30B;32;17101;17200;3458;3824;1714;1714;4776;4776
30B;32;17201;17300;3487;3858;1743;1743;4810;4810
30B;32;17301;17400;3516;3893;1773;1773;4845;4845
30B;32;17401;17500;3544;3928;1803;1803;4882;4882
30B;32;17501;17600;3573;3962;1832;1832;4917;4917
30B;32;17601;17700;3602;4000;1865;1865;4952;4952
30B;32;17701;17800;3630;4034;1894;1894;4986;4986
30B;32;17801;17900;3659;4069;1924;1924;5021;5021
30B;32;17901;18000;3688;4104;1954;1954;5058;5058
30B;32;18001;18100;3717;4138;1983;1983;5093;5093
30B;32;18101;18200;3745;4176;2016;2016;5128;5128
30B;32;18201;18300;3774;4210;2045;2045;5162;5162
30B;32;18301;18400;3803;4245;2075;2075;5197;5197
30B;32;18401;18500;3831;4280;2105;2105;5234;5234
30B;32;18501;18600;3860;4314;2134;2134;5269;5269
30B;32;18601;18700;3889;4352;2167;2167;5304;5304
30B;32;18701;18800;3917;4386;2196;2196;5338;5338
30B;32;18801;18900;3946;4421;2226;2226;5373;5373
30B;32;18901;19000;3975;4456;2256;2256;5410;5410
30B;32;19001;19100;4004;4490;2285;2285;5445;5445
30B;32;19101;19200;4032;4528;2318;2318;5480;5480
30B;32;19201;19300;4061;4562;2347;2347;5514;5514
30B;32;19301;19400;4090;4597;2377;2377;5549;5549
30B;32;19401;19500;4118;4632;2407;2407;5586;5586
30B;32;19501;19600;4147;4666;2436;2436;5621;5621
30B;32;19601;19700;4176;4704;2469;2469;5656;5656
30B;32;19701;19800;4204;4738;2498;2498;5690;5690
30B;32;19801;19900;4233;4773;2528;2528;5725;5725
30B;32;19901;20000;4262;4808;2558;2558;5762;5762
30B;32;20001;20200;4319;4877;2617;2617;5832;5832
30B;32;20201;20400;4377;4946;2676;2676;5901;5901
30B;32;20401;20600;4434;5018;2738;2738;5973;5973
30B;32;20601;20800;4491;5088;2798;2798;6042;6042
30B;32;20801;21000;4549;5157;2857;2857;6114;6114
30B;32;21001;21200;4606;5226;2916;2916;6184;6184
30B;32;21201;21400;4664;5296;2976;2976;6253;6253
30B;32;21401;21600;4721;5365;3035;3035;6325;6325
30B;32;21601;21800;4778;5434;3094;3094;6394;6394
30B;32;21801;22000;4836;5506;3156;3156;6466;6466
30B;32;22001;22200;4893;5576;3216;3216;6536;6536
30B;32;22201;22400;4951;5645;3275;3275;6605;6605
30B;32;22401;22600;5008;5714;3334;3334;6677;6677
30B;32;22601;22800;5065;5784;3394;3394;6746;6746
30B;32;22801;23000;5123;5853;3453;3453;6818;6818
30B;32;23001;23200;5180;5925;3515;3515;6888;6888
30B;32;23201;23400;5238;5994;3574;3574;6957;6957
30B;32;23401;23600;5295;6064;3634;3634;7029;7029
30B;32;23601;23800;5353;6133;3693;3693;7098;7098
30B;32;23801;24000;5410;6202;3752;3752;7170;7170
30B;32;24001;24200;5467;6272;3812;3812;7240;7240
30B;32;24201;24400;5525;6344;3874;3874;7309;7309
30B;32;24401;24600;5582;6413;3933;3933;7381;7381
30B;32;24601;24800;5640;6482;3992;3992;7450;7450
30B;32;24801;25000;5697;6552;4052;4052;7522;7522
30B;32;25001;25200;5754;6621;4121;4121;7592;7592
30B;32;25201;25400;5812;6690;4190;4190;7661;7661
30B;32;25401;25600;5869;6762;4262;4262;7733;7733
30B;32;25601;25800;5927;6832;4332;4332;7802;7802
30B;32;25801;26000;5984;6901;4401;4401;7874;7874
30B;32;26001;26200;6041;6970;4470;4470;7944;7944
30B;32;26201;26400;6099;7040;4540;4540;8013;8013
30B;32;26401;26600;6156;7109;4609;4609;8085;8085
30B;32;26601;26800;6214;7178;4678;4678;8154;8154
30B;32;26801;27000;6271;7250;4750;4750;8226;8226
30B;32;27001;27200;6328;7320;4820;4820;8296;8296
30B;32;27201;27400;6386;7389;4889;4889;8365;8365
30B;32;27401;27600;6443;7458;4958;4958;8437;8437
30B;32;27601;27800;6501;7528;5028;5028;8506;8506
30B;32;27801;28000;6558;7597;5097;5097;8578;8578
30B;32;28001;28200;6615;7669;5169;5169;8648;8648
30B;32;28201;28400;6673;7738;5238;5238;8717;8717
30B;32;28401;28600;6730;7808;5308;5308;8789;8789
30B;32;28601;28800;6788;7877;5377;5377;8858;8858
30B;32;28801;29000;6845;7946;5446;5446;8930;8930
30B;32;29001;29200;6902;8016;5516;5516;8997;8997
30B;32;29201;29400;6959;8088;5588;5588;9061;9061
30B;32;29401;29600;7017;8157;5657;5657;9125;9125
30B;32;29601;29800;7074;8226;5726;5726;9189;9189
30B;32;29801;30000;7136;8296;5796;5796;9253;9253
30B;32;30001;30200;7200;8365;5865;5865;9317;9317
30B;32;30201;30400;7264;8434;5934;5934;9381;9381
30B;32;30401;30600;7328;8506;6006;6006;9445;9445
30B;32;30601;30800;7392;8576;6076;6076;9509;9509
30B;32;30801;31000;7456;8645;6145;6145;9573;9573
30B;32;31001;31200;7520;8714;6214;6214;9637;9637
30B;32;31201;31400;7584;8784;6284;6284;9701;9701
30B;32;31401;31600;7648;8853;6353;6353;9765;9765
30B;32;31601;31800;7712;8922;6422;6422;9829;9829
30B;32;31801;32000;7776;8994;6494;6494;9893;9893
30B;32;32001;32200;7840;9064;6564;6564;9957;9957
30B;32;32201;32400;7904;9133;6633;6633;10021;10021
30B;32;32401;32600;7968;9202;6702;6702;10085;10085
30B;32;32601;32800;8032;9272;6772;6772;10149;10149
30B;32;32801;33000;8096;9341;6841;6841;10213;10213
30B;32;33001;33200;8160;9413;6913;6913;10277;10277
30B;32;33201;33400;8224;9482;6982;6982;10341;10341
30B;32;33401;33600;8288;9552;7052;7052;10405;10405
30B;32;33601;33800;8352;9621;7121;7121;10469;10469
30B;32;33801;34000;8416;9690;7190;7190;10533;10533
30B;32;34001;34200;8480;9760;7260;7260;10597;10597
30B;32;34201;34400;8544;9832;7332;7332;10661;10661
30B;32;34401;34600;8608;9901;7401;7401;10725;10725
30B;32;34601;34800;8672;9970;7470;7470;10789;10789
30B;32;34801;35000;8736;10040;7540;7540;10853;10853
30B;32;35001;35200;8800;10109;7609;7609;10917;10917
30B;32;35201;35400;8864;10178;7678;7678;10981;10981
30B;32;35401;35600;8928;10250;7750;7750;11045;11045
30B;32;35601;35800;8992;10320;7820;7820;11109;11109
30B;32;35801;36000;9056;10389;7889;7889;11173;11173
30B;32;36001;36200;9120;10458;7958;7958;11237;11237
30B;32;36201;36400;9184;10528;8028;8028;11301;11301
30B;32;36401;36600;9248;10597;8097;8097;11365;11365
30B;32;36601;36800;9312;10666;8166;8166;11429;11429
30B;32;36801;37000;9390;10738;8238;8238;11506;11506
30B;32;37001;37200;9494;10808;8308;8308;11610;11610
30B;32;37201;37400;9598;10877;8377;8377;11714;11714
30B;32;37401;37600;9702;10946;8446;8446;11818;11818
30B;32;37601;37800;9806;11016;8516;8516;11922;11922
30B;32;37801;38000;9910;11085;8585;8585;12026;12026
30B;32;38001;38200;10014;11157;8657;8657;12130;12130
30B;32;38201;38400;10118;11226;8726;8726;12234;12234
30B;32;38401;38600;10222;11296;8796;8796;12338;12338
30B;32;38601;38800;10326;11365;8865;8865;12442;12442
30B;32;38801;39000;10430;11434;8934;8934;12546;12546
30B;32;39001;39200;10534;11524;9024;9024;12650;12650
30B;32;39201;39400;10638;11641;9141;9141;12754;12754
30B;32;39401;39600;10742;11753;9253;9253;12858;12858
30B;32;39601;39800;10846;11866;9366;9366;12962;12962
30B;32;39801;40000;10950;11979;9479;9479;13066;13066
30B;32;40001;40200;11054;12091;9591;9591;13170;13170
30B;32;40201;40400;11158;12204;9704;9704;13274;13274
30B;32;40401;40600;11262;12321;9821;9821;13378;13378
30B;32;40601;40800;11366;12434;9934;9934;13482;13482
30B;32;40801;41000;11470;12546;10046;10046;13586;13586
30B;32;41001;41200;11574;12659;10159;10159;13690;13690
30B;32;41201;41400;11678;12772;10272;10272;13794;13794
30B;32;41401;41600;11782;12884;10384;10384;13898;13898
30B;32;41601;41800;11886;12997;10497;10497;14002;14002
30B;32;41801;42000;11990;13114;10614;10614;14106;14106
30B;32;42001;42200;12094;13227;10727;10727;14210;14210
30B;32;42201;42400;12198;13339;10839;10839;14314;14314
30B;32;42401;42600;12302;13452;10952;10952;14418;14418
30B;32;42601;42800;12406;13565;11065;11065;14522;14522
30B;32;42801;43000;12510;13677;11177;11177;14626;14626
30B;32;43001;43200;12614;13794;11294;11294;14730;14730
30B;32;43201;43400;12718;13907;11407;11407;14834;14834
30B;32;43401;43600;12822;14020;11520;11520;14938;14938
30B;32;43601;43800;12926;14132;11632;11632;15042;15042
30B;32;43801;44000;13030;14245;11745;11745;15146;15146
30B;32;44001;44200;13134;14358;11858;11858;15250;15250
30B;32;44201;44400;13238;14475;11975;11975;15354;15354
30B;32;44401;44600;13342;14587;12087;12087;15458;15458
30B;32;44601;44800;13446;14700;12200;12200;15562;15562
30B;32;44801;45000;13550;14813;12313;12313;15666;15666
30B;32;45001;45200;13654;14925;12425;12425;15770;15770
30B;32;45201;45400;13758;15038;12538;12538;15874;15874
30B;32;45401;45600;13862;15155;12655;12655;15978;15978
30B;32;45601;45800;13966;15268;12768;12768;16082;16082
30B;32;45801;46000;14070;15376;12876;12876;16186;16186
30B;32;46001;46200;14174;15480;12980;12980;16290;16290
30B;32;46201;46400;14278;15584;13084;13084;16394;16394
30B;32;46401;46600;14382;15688;13188;13188;16498;16498
30B;32;46601;46800;14486;15792;13292;13292;16602;16602
30B;32;46801;47000;14590;15896;13396;13396;16706;16706
30B;32;47001;47200;14694;16000;13500;13500;16810;16810
30B;32;47201;47400;14798;16104;13604;13604;16914;16914
30B;32;47401;47600;14902;16208;13708;13708;17018;17018
30B;32;47601;47800;15006;16312;13812;13812;17122;17122
30B;32;47801;48000;15110;16416;13916;13916;17226;17226
30B;32;48001;48200;15214;16520;14020;14020;17330;17330
30B;32;48201;48400;15318;16624;14124;14124;17434;17434
30B;32;48401;48600;15422;16728;14228;14228;17538;17538
30B;32;48601;48800;15526;16832;14332;14332;17642;17642
30B;32;48801;49000;15630;16936;14436;14436;17746;17746
30B;32;49001;49200;15734;17040;14540;14540;17850;17850
30B;32;49201;49400;15838;17144;14644;14644;17954;17954
30B;32;49401;49600;15942;17248;14748;14748;18058;18058
30B;32;49601;49800;16046;17352;14852;14852;18162;18162
30B;32;49801;50000;16150;17456;14956;14956;18266;18266
30B;32;50001;50200;16260;17560;15066;15066;18370;18370
30B;32;50201;50400;16370;17664;15176;15176;18474;18474
30B;32;50401;50600;16480;17768;15286;15286;18578;18578
30B;32;50601;50800;16590;17872;15396;15396;18682;18682
30B;32;50801;51000;16700;17976;15506;15506;18786;18786
30B;32;51001;51200;16810;18080;15616;15616;18890;18890
30B;32;51201;51400;16920;18184;15726;15726;18994;18994
30B;32;51401;51600;17030;18288;15836;15836;19098;19098
30B;32;51601;51800;17140;18392;15946;15946;19202;19202
30B;32;51801;52000;17250;18496;16056;16056;19306;19306
30B;32;52001;52200;17360;18600;16166;16166;19410;19410
30B;32;52201;52400;17470;18704;16276;16276;19514;19514
30B;32;52401;52600;17580;18808;16386;16386;19618;19618
30B;32;52601;52800;17690;18912;16496;16496;19722;19722
30B;32;52801;53000;17800;19016;16606;16606;19826;19826
30B;32;53001;53200;17910;19120;16716;16716;19930;19930
30B;32;53201;53400;18028;19224;16826;16826;20043;20043
30B;32;53401;53600;18148;19328;16936;16936;20157;20157
30B;32;53601;53800;18268;19432;17046;17046;20271;20271
30B;32;53801;54000;18388;19536;17156;17156;20385;20385
30B;32;54001;54200;18508;19640;17266;17266;20499;20499
30B;32;54201;54400;18628;19744;17376;17376;20613;20613
30B;32;54401;54600;18748;19848;17486;17486;20727;20727
30B;32;54601;54800;18868;19952;17596;17596;20841;20841
30B;32;54801;55000;18988;20066;17716;17716;20955;20955
30B;32;55001;55200;19108;20180;17836;17836;21069;21069
30B;32;55201;55400;19228;20294;17956;17956;21183;21183
30B;32;55401;55600;19348;20408;18076;18076;21297;21297
30B;32;55601;55800;19468;20522;18196;18196;21411;21411
30B;32;55801;56000;19588;20636;18316;18316;21525;21525
30B;32;56001;56200;19708;20750;18436;18436;21639;21639
30B;32;56201;56400;19828;20864;18556;18556;21753;21753
30B;32;56401;56600;19948;20978;18676;18676;21867;21867
30B;32;56601;56800;20068;21092;18796;18796;21981;21981
30B;32;56801;57000;20188;21206;18916;18916;22095;22095
30B;32;57001;57200;20308;21320;19036;19036;22209;22209
30B;32;57201;57400;20428;21434;19156;19156;22323;22323
30B;32;57401;57600;20548;21548;19276;19276;22437;22437
30B;32;57601;57800;20668;21662;19396;19396;22551;22551
30B;32;57801;58000;20788;21776;19516;19516;22665;22665
30B;32;58001;58200;20908;21890;19636;19636;22779;22779
30B;32;58201;58400;21028;22004;19756;19756;22893;22893
30B;32;58401;58600;21148;22118;19876;19876;23007;23007
30B;32;58601;58800;21268;22232;19996;19996;23121;23121
30B;32;58801;59000;21388;22346;20116;20116;23235;23235
30B;32;59001;59200;21508;22460;20236;20236;23349;23349
30B;32;59201;59400;21628;22574;20356;20356;23463;23463
30B;32;59401;59600;21748;22688;20476;20476;23577;23577
30B;32;59601;59800;21868;22802;20596;20596;23691;23691
30B;32;59801;60000;21988;22916;20716;20716;23805;23805
30B;32;60001;60200;22108;23030;20836;20836;23919;23919
30B;32;60201;60400;22228;23144;20956;20956;24033;24033
30B;32;60401;60600;22348;23258;21076;21076;24147;24147
30B;32;60601;60800;22468;23372;21196;21196;24261;24261
30B;32;60801;61000;22588;23486;21316;21316;24375;24375
30B;32;61001;61200;22708;23600;21436;21436;24489;24489
30B;32;61201;61400;22828;23714;21556;21556;24603;24603
30B;32;61401;61600;22948;23828;21676;21676;24717;24717
30B;32;61601;61800;23068;23942;21796;21796;24831;24831
30B;32;61801;62000;23188;24056;21916;21916;24945;24945
30B;32;62001;62200;23308;24170;22036;22036;25059;25059
30B;32;62201;62400;23428;24284;22156;22156;25173;25173
30B;32;62401;62600;23548;24398;22276;22276;25287;25287
30B;32;62601;62800;23668;24512;22396;22396;25401;25401
30B;32;62801;63000;23788;24626;22516;22516;25515;25515
30B;32;63001;63200;23908;24740;22636;22636;25629;25629
30B;32;63201;63400;24028;24854;22756;22756;25743;25743
30B;32;63401;63600;24148;24968;22876;22876;25857;25857
30B;32;63601;63800;24268;25082;22996;22996;25971;25971
30B;32;63801;64000;24388;25196;23116;23116;26085;26085
30B;32;64001;64200;24508;25310;23236;23236;26199;26199
30B;32;64201;64400;24628;25424;23356;23356;26313;26313
30B;32;64401;64600;24748;25538;23476;23476;26427;26427
30B;32;64601;64800;24868;25652;23596;23596;26541;26541
30B;32;64801;65000;24988;25766;23716;23716;26655;26655
30B;32;65001;65200;25108;25880;23836;23836;26769;26769
30B;32;65201;65400;25228;25994;23956;23956;26883;26883
30B;32;65401;65600;25348;26108;24076;24076;26997;26997
30B;32;65601;65800;25468;26222;24196;24196;27111;27111
30B;32;65801;66000;25588;26336;24316;24316;27225;27225
30B;32;66001;66200;25708;26450;24436;24436;27339;27339
30B;32;66201;66400;25828;26564;24556;24556;27453;27453
30B;32;66401;66600;25948;26678;24676;24676;27567;27567
30B;32;66601;66800;26068;26792;24796;24796;27681;27681
30B;32;66801;67000;26188;26906;24916;24916;27795;27795
30B;32;67001;67200;26308;27020;25036;25036;27909;27909
30B;32;67201;67400;26428;27134;25156;25156;28023;28023
30B;32;67401;67600;26548;27248;25276;25276;28137;28137
30B;32;67601;67800;26668;27362;25396;25396;28251;28251
30B;32;67801;68000;26788;27476;25516;25516;28365;28365
30B;32;68001;68200;26908;27590;25636;25636;28479;28479
30B;32;68201;68400;27028;27704;25756;25756;28593;28593
30B;32;68401;68600;27148;27818;25876;25876;28707;28707
30B;32;68601;68800;27268;27932;25996;25996;28821;28821
30B;32;68801;69000;27388;28046;26116;26116;28935;28935
30B;32;69001;69200;27508;28160;26236;26236;29049;29049
30B;32;69201;69400;27628;28274;26356;26356;29163;29163
30B;32;69401;69600;27748;28388;26476;26476;29277;29277
30B;32;69601;69800;27868;28502;26596;26596;29391;29391
30B;32;69801;70000;27988;28616;26716;26716;29505;29505
30B;32;70001;70200;28108;28730;26836;26836;29619;29619
30B;32;70201;70400;28228;28844;26956;26956;29733;29733
30B;32;70401;70600;28348;28958;27076;27076;29847;29847
30B;32;70601;70800;28468;29072;27196;27196;29961;29961
30B;32;70801;71000;28588;29186;27316;27316;30075;30075
30B;32;71001;71200;28708;29300;27436;27436;30189;30189
30B;32;71201;71400;28828;29414;27556;27556;30303;30303
30B;32;71401;71600;28948;29528;27676;27676;30417;30417
30B;32;71601;71800;29068;29642;27796;27796;30531;30531
30B;32;71801;72000;29188;29756;27916;27916;30645;30645
30B;32;72001;72200;29308;29870;28036;28036;30759;30759
30B;32;72201;72400;29428;29984;28156;28156;30873;30873
30B;32;72401;72600;29548;30098;28276;28276;30987;30987
30B;32;72601;72800;29668;30212;28396;28396;31101;31101
30B;32;72801;73000;29788;30326;28516;28516;31215;31215
30B;32;73001;73200;29908;30440;28636;28636;31329;31329
30B;32;73201;73400;30028;30554;28756;28756;31443;31443
30B;32;73401;73600;30148;30668;28876;28876;31557;31557
30B;32;73601;73800;30268;30782;28996;28996;31671;31671
30B;32;73801;74000;30388;30896;29116;29116;31785;31785
30B;32;74001;74200;30508;31010;29236;29236;31899;31899
30B;32;74201;74400;30628;31124;29356;29356;32013;32013
30B;32;74401;74600;30748;31238;29476;29476;32127;32127
30B;32;74601;74800;30868;31352;29596;29596;32241;32241
30B;32;74801;75000;30988;31466;29716;29716;32355;32355
30B;32;75001;75200;31108;31580;29836;29836;32469;32469
30B;32;75201;75400;31228;31694;29956;29956;32583;32583
30B;32;75401;75600;31348;31808;30076;30076;32697;32697
30B;32;75601;75800;31468;31922;30196;30196;32811;32811
30B;32;75801;76000;31588;32036;30316;30316;32925;32925
30B;32;76001;76200;31708;32150;30436;30436;33039;33039
30B;32;76201;76400;31828;32264;30556;30556;33153;33153
30B;32;76401;76600;31948;32378;30676;30676;33267;33267
30B;32;76601;76800;32068;32492;30796;30796;33381;33381
30B;32;76801;77000;32188;32606;30916;30916;33495;33495
30B;32;77001;77200;32308;32720;31036;31036;33609;33609
30B;32;77201;77400;32428;32834;31156;31156;33723;33723
30B;32;77401;77600;32548;32948;31276;31276;33837;33837
30B;32;77601;77800;32668;33062;31396;31396;33951;33951
30B;32;77801;78000;32788;33176;31516;31516;34065;34065
30B;32;78001;78200;32908;33290;31636;31636;34179;34179
30B;32;78201;78400;33028;33404;31756;31756;34293;34293
30B;32;78401;78600;33148;33518;31876;31876;34407;34407
30B;32;78601;78800;33268;33632;31996;31996;34521;34521
30B;32;78801;79000;33388;33746;32116;32116;34635;34635
30B;32;79001;79200;33508;33860;32236;32236;34749;34749
30B;32;79201;79400;33628;33974;32356;32356;34863;34863
30B;32;79401;79600;33748;34088;32476;32476;34977;34977
30B;32;79601;79800;33868;34202;32596;32596;35091;35091
30B;32;79801;80000;33988;34316;32716;32716;35205;35205
30%;32;80001;80200;42;43;41;41;44;44
30%;32;80201;82600;43;43;41;41;44;44
30%;32;82601;83000;43;43;42;42;44;44
30%;32;83001;83400;43;43;42;42;45;45
30%;32;83401;84800;43;44;42;42;45;45
30%;32;84801;87200;44;44;42;42;45;45
30%;32;87201;90200;44;44;43;43;45;45
30%;32;90201;92600;45;45;43;43;46;46
30%;32;92601;96600;45;45;44;44;46;46
30%;32;96601;98000;46;45;44;44;46;46
30%;32;98001;98600;46;46;44;44;46;46
30%;32;98601;98800;46;46;45;45;46;46
30%;32;98801;103600;46;46;45;45;47;47
30%;32;103601;105400;47;46;45;45;47;47
30%;32;105401;107400;47;46;46;46;47;47
30%;32;107401;109400;47;47;46;46;47;47
30%;32;109401;112000;47;47;46;46;48;48
30%;32;112001;113200;48;47;46;46;48;48
30%;32;113201;118600;48;47;47;47;48;48
30%;32;118601;122200;48;48;47;47;48;48
30%;32;122201;132600;49;48;48;48;49;49
30%;32;132601;132800;49;49;48;48;49;49
30%;32;132801;138400;49;49;49;49;49;49
30%;32;138401;150400;50;49;49;49;50;50
30%;32;150401;159800;50;50;50;50;50;50
30%;32;159801;173400;51;50;50;50;51;51
30%;32;173401;188800;51;51;51;51;51;51
30%;32;188801;205000;52;51;51;51;52;52
30%;32;205001;230800;52;52;52;52;52;52
30%;32;230801;250600;53;52;52;52;53;53
30%;32;250601;296800;53;53;53;53;53;53
30%;32;296801;322200;54;53;53;53;54;54
30%;32;322201;415600;54;54;54;54;54;54
30%;32;415601;451200;55;54;54;54;55;55
30%;32;451201;692800;55;55;55;55;55;55
30%;32;692801;752200;56;55;55;55;56;56
30%;32;752201;2079000;56;56;56;56;56;56
30%;32;2079001;2256600;57;56;56;56;57;57
30%;32;2256601;;57;57;57;57;57;57
30B;33;1;1500;0;0;0;0;0;0
30B;33;1501;1600;108;0;108;0;108;11
30B;33;1601;1700;118;0;116;0;118;44
30B;33;1701;1800;127;0;125;0;127;77
30B;33;1801;1900;137;0;133;0;137;110
30B;33;1901;2000;146;0;141;0;146;143
30B;33;2001;2100;156;0;150;0;176;176
30B;33;2101;2200;157;0;150;0;209;209
30B;33;2201;2300;167;0;158;0;242;242
30B;33;2301;2400;176;0;166;0;275;275
30B;33;2401;2500;186;0;175;0;308;308
30B;33;2501;2600;195;0;183;0;341;341
30B;33;2601;2700;205;0;191;0;374;374
30B;33;2701;2800;214;0;200;0;407;407
30B;33;2801;2900;216;0;200;0;440;440
30B;33;2901;3000;225;0;208;0;473;473
30B;33;3001;3100;235;0;216;0;506;506
30B;33;3101;3200;244;0;225;0;539;539
30B;33;3201;3300;254;0;233;0;572;572
30B;33;3301;3400;263;0;241;0;605;605
30B;33;3401;3500;264;0;241;0;638;638
30B;33;3501;3600;274;0;250;0;671;671
30B;33;3601;3700;283;0;258;0;701;701
30B;33;3701;3800;293;0;266;0;728;728
30B;33;3801;3900;302;0;275;0;753;753
30B;33;3901;4000;311;0;283;0;781;781
30B;33;4001;4100;312;0;283;0;805;805
30B;33;4101;4200;322;24;292;0;833;833
30B;33;4201;4300;331;49;301;1;860;860
30B;33;4301;4400;340;74;311;2;885;885
30B;33;4401;4500;349;99;320;3;913;913
30B;33;4501;4600;359;123;329;4;937;937
30B;33;4601;4700;360;148;330;5;965;965
30B;33;4701;4800;369;173;339;6;992;992
30B;33;4801;4900;378;198;348;7;1017;1017
30B;33;4901;5000;388;222;358;8;1045;1045
30B;33;5001;5100;408;247;367;9;1069;1069
30B;33;5101;5200;430;272;376;9;1097;1097
30B;33;5201;5300;453;297;385;10;1124;1124
30B;33;5301;5400;475;321;386;11;1149;1149
30B;33;5401;5500;497;346;395;12;1177;1177
30B;33;5501;5600;519;371;405;13;1201;1201
30B;33;5601;5700;541;396;414;14;1229;1229
30B;33;5701;5800;564;420;423;15;1256;1256
30B;33;5801;5900;586;445;432;16;1281;1281
30B;33;5901;6000;608;470;433;17;1309;1309
30B;33;6001;6100;630;495;443;18;1333;1333
30B;33;6101;6200;652;519;452;18;1361;1361
30B;33;6201;6300;675;544;461;19;1388;1388
30B;33;6301;6400;697;569;470;20;1413;1413
30B;33;6401;6500;719;594;479;21;1441;1441
30B;33;6501;6600;741;618;480;22;1465;1465
30B;33;6601;6700;764;643;490;23;1493;1493
30B;33;6701;6800;786;668;499;24;1520;1520
30B;33;6801;6900;808;693;508;25;1545;1545
30B;33;6901;7000;830;717;517;26;1573;1573
30B;33;7001;7100;852;742;527;27;1597;1597
30B;33;7101;7200;875;767;527;27;1625;1625
30B;33;7201;7300;897;792;537;28;1652;1652
30B;33;7301;7400;919;816;546;29;1677;1677
30B;33;7401;7500;941;841;555;30;1705;1705
30B;33;7501;7600;963;866;564;31;1729;1729
30B;33;7601;7700;986;891;574;32;1757;1757
30B;33;7701;7800;1008;915;583;33;1784;1784
30B;33;7801;7900;1030;940;584;34;1809;1809
30B;33;7901;8000;1052;965;593;35;1837;1837
30B;33;8001;8100;1074;990;602;36;1861;1861
30B;33;8101;8200;1097;1014;611;36;1889;1889
30B;33;8201;8300;1119;1039;621;37;1916;1916
30B;33;8301;8400;1141;1064;630;38;1941;1941
30B;33;8401;8500;1163;1089;631;39;1969;1969
30B;33;8501;8600;1185;1113;640;40;1993;1993
30B;33;8601;8700;1208;1138;649;41;2021;2021
30B;33;8701;8800;1230;1163;659;42;2048;2048
30B;33;8801;8900;1252;1188;668;43;2073;2073
30B;33;8901;9000;1274;1212;677;44;2101;2101
30B;33;9001;9100;1296;1237;678;45;2125;2125
30B;33;9101;9200;1319;1262;687;45;2153;2153
30B;33;9201;9300;1341;1287;696;46;2180;2180
30B;33;9301;9400;1363;1311;706;47;2205;2205
30B;33;9401;9500;1385;1336;715;48;2233;2233
30B;33;9501;9600;1407;1361;724;49;2257;2257
30B;33;9601;9700;1430;1386;725;50;2285;2285
30B;33;9701;9800;1452;1410;734;51;2312;2312
30B;33;9801;9900;1474;1435;743;52;2337;2337
30B;33;9901;10000;1496;1460;753;53;2365;2365
30B;33;10001;10100;1518;1490;762;54;2392;2392
30B;33;10101;10200;1541;1523;772;55;2425;2425
30B;33;10201;10300;1563;1556;781;56;2458;2458
30B;33;10301;10400;1586;1589;782;57;2491;2491
