Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
23 21  05;ÅRE;UNDERSÅKER;35.13;33.71;22.22;11.20;0.29;1.42
23 26  01;BERG;BERG;35.57;34.26;22.52;11.20;0.54;1.31
23 26  02;BERG;HACKÅS;35.57;34.26;22.52;11.20;0.54;1.31
23 26  03;BERG;OVIKEN-MYSSJÖ;35.57;34.26;22.52;11.20;0.54;1.31
23 26  05;BERG;HEDEBYGDEN, DEL;35.67;34.26;22.52;11.20;0.54;1.41
23 26  06;BERG;ÅSARNE;35.57;34.26;22.52;11.20;0.54;1.31
23 26  08;BERG;RÄTAN-KLÖVSJÖ;35.57;34.26;22.52;11.20;0.54;1.31
23 61  01;HÄRJEDALEN;SVEGSBYGDEN;35.62;34.21;22.47;11.20;0.54;1.41
23 61  05;HÄRJEDALEN;HEDEBYGDEN, DEL;35.62;34.21;22.47;11.20;0.54;1.41
23 61  07;HÄRJEDALEN;TÄNNÄS-LJUSNEDAL;36.07;34.32;22.47;11.20;0.65;1.75
23 61  09;HÄRJEDALEN;YTTERHOGDAL, ÖVERHOGDAL OCH ÄNGERSJÖ;35.67;34.23;22.47;11.20;0.56;1.44
23 80  01;ÖSTERSUND;ÖSTERSUND;34.61;33.44;22.02;11.20;0.22;1.17
23 80  02;ÖSTERSUND;FRÖSÖ, SUNNE OCH NORDERÖ;34.68;33.48;22.02;11.20;0.26;1.20
23 80  04;ÖSTERSUND;NÄS;34.74;33.44;22.02;11.20;0.22;1.30
23 80  05;ÖSTERSUND;LOCKNE;34.74;33.44;22.02;11.20;0.22;1.30
23 80  06;ÖSTERSUND;MARIEBY;34.74;33.44;22.02;11.20;0.22;1.30
23 80  07;ÖSTERSUND;BRUNFLO;34.74;33.44;22.02;11.20;0.22;1.30
23 80  09;ÖSTERSUND;HÄGGENÅS-LIT-KYRKÅS;34.98;33.68;22.02;11.20;0.46;1.30
24 01  02;NORDMALING;NORDMALING;35.50;34.45;23.30;10.80;0.35;1.05
24 03  01;BJURHOLM;BJURHOLM;35.31;34.34;23.15;10.80;0.39;0.97
24 04  01;VINDELN;VINDELN;36.11;35.02;23.65;10.80;0.57;1.09
24 09  01;ROBERTSFORS;BYGDEÅ;35.41;34.31;23.15;10.80;0.36;1.10
24 17  02;NORSJÖ;NORSJÖ;35.61;34.61;23.40;10.80;0.41;1.00
24 18  01;MALÅ;MALÅ;35.72;34.70;23.40;10.80;0.50;1.02
24 21  01;STORUMAN;STENSELE;35.655;34.355;23.15;10.80;0.405;1.30
24 21  03;STORUMAN;TÄRNA;35.50;34.35;23.15;10.80;0.40;1.15
24 22  01;SORSELE;SORSELE;35.47;34.45;23.15;10.80;0.50;1.02
24 25  01;DOROTEA;DOROTEA-RISBÄCK;36.455;35.155;23.95;10.80;0.405;1.30
24 60  01;VÄNNÄS;VÄNNÄS;35.81;34.84;23.65;10.80;0.39;0.97
24 62  01;VILHELMINA;VILHELMINA;35.955;34.655;23.45;10.80;0.405;1.30
24 63  01;ÅSELE;ÅSELE-FREDRIKA;35.655;34.355;23.15;10.80;0.405;1.30
24 80  01;UMEÅ;UMEÅ STADSFÖRS.;34.82;33.81;22.85;10.80;0.16;1.01
24 80  02;UMEÅ;UMEÅ LANDSFÖRS.;34.82;33.81;22.85;10.80;0.16;1.01
24 80  03;UMEÅ;TAVELSJÖ;34.82;33.81;22.85;10.80;0.16;1.01
24 80  04;UMEÅ;TEG;34.82;33.81;22.85;10.80;0.16;1.01
24 80  05;UMEÅ;ÅLIDHEM;34.82;33.81;22.85;10.80;0.16;1.01
24 80  06;UMEÅ;HOLMSUND;34.97;33.85;22.85;10.80;0.20;1.12
24 80  07;UMEÅ;HÖRNEFORS;35.075;33.925;22.85;10.80;0.275;1.15
