Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
03 80  22;UPPSALA;SKUTTUNGE;34.31;33.09;21.14;11.71;0.24;1.22
03 80  23;UPPSALA;TENSTA;34.06;32.99;21.14;11.71;0.14;1.07
03 80  24;UPPSALA;LENA;34.06;32.99;21.14;11.71;0.14;1.07
03 80  25;UPPSALA;ÄRENTUNA;34.06;32.99;21.14;11.71;0.14;1.07
03 80  26;UPPSALA;BJÖRKLINGE;34.31;33.09;21.14;11.71;0.24;1.22
03 80  27;UPPSALA;VIKSTA;34.31;33.09;21.14;11.71;0.24;1.22
03 80  28;UPPSALA;KNUTBY-BLADÅKER;34.26;33.12;21.14;11.71;0.27;1.14
03 80  30;UPPSALA;FARINGE;34.26;33.12;21.14;11.71;0.27;1.14
03 80  31;UPPSALA;ALMUNGE;34.26;33.12;21.14;11.71;0.27;1.14
03 80  38;UPPSALA;GOTTSUNDA;33.94;33.02;21.14;11.71;0.17;0.92
03 80  39;UPPSALA;STAVBY;34.30;33.08;21.14;11.71;0.23;1.22
03 80  40;UPPSALA;TUNA;34.30;33.08;21.14;11.71;0.23;1.22
03 80  41;UPPSALA;RASBO;34.30;33.08;21.14;11.71;0.23;1.22
03 80  42;UPPSALA;RASBOKIL;34.30;33.08;21.14;11.71;0.23;1.22
03 81  01;ENKÖPING;ENKÖPING;34.42;33.30;21.34;11.71;0.25;1.12
03 81  05;ENKÖPING;TILLINGE OCH SÖDRA ÅSUNDA;34.42;33.30;21.34;11.71;0.25;1.12
03 81  07;ENKÖPING;SPARRSÄTRA-BRED;34.42;33.30;21.34;11.71;0.25;1.12
03 81  11;ENKÖPING;BOGLÖSA;34.42;33.30;21.34;11.71;0.25;1.12
03 81  14;ENKÖPING;VECKHOLM;34.42;33.30;21.34;11.71;0.25;1.12
03 81  17;ENKÖPING;VILLBERGA;34.42;33.30;21.34;11.71;0.25;1.12
03 81  30;ENKÖPING;LAGUNDA;34.87;33.42;21.34;11.71;0.37;1.45
03 81  31;ENKÖPING;FJÄRDHUNDRA;34.79;33.38;21.34;11.71;0.33;1.41
03 82  04;ÖSTHAMMAR;FRÖSÅKER;34.79;33.70;21.69;11.71;0.30;1.09
03 82  07;ÖSTHAMMAR;ÖREGRUND-GRÄSÖ;35.07;33.73;21.69;11.71;0.33;1.34
03 82  09;ÖSTHAMMAR;ALUNDA;35.04;33.65;21.69;11.71;0.25;1.39
03 82  10;ÖSTHAMMAR;EKEBY;35.13;33.77;21.69;11.71;0.37;1.36
03 82  11;ÖSTHAMMAR;SKÄFTHAMMAR-HÖKHUVUD;35.13;33.77;21.69;11.71;0.37;1.36
03 82  13;ÖSTHAMMAR;DANNEMORABYGDEN;35.03;33.71;21.69;11.71;0.31;1.32
04 28  01;VINGÅKER;VÄSTRA VINGÅKER;34.83;33.79;22.73;10.77;0.29;1.04
04 28  02;VINGÅKER;ÖSTERÅKER;34.83;33.79;22.73;10.77;0.29;1.04
04 61  01;GNESTA;FRUSTUNA;34.49;33.20;22.18;10.77;0.25;1.29
04 61  04;GNESTA;DAGA;34.55;33.23;22.18;10.77;0.28;1.32
04 80  02;NYKÖPING;NYKÖPING;33.66;32.47;21.48;10.77;0.22;1.19
04 80  05;NYKÖPING;TUNABERG;33.99;32.61;21.48;10.77;0.36;1.38
04 80  07;NYKÖPING;KILADALEN;33.79;32.53;21.48;10.77;0.28;1.26
04 80  10;NYKÖPING;STIGTOMTA-VRENA;33.89;32.57;21.48;10.77;0.32;1.32
04 80  19;NYKÖPING;RÖNÖ;34.06;32.70;21.48;10.77;0.45;1.36
04 80  20;NYKÖPING;TYSTBERGABYGDEN;34.09;32.65;21.48;10.77;0.40;1.44
04 81  01;OXELÖSUND;OXELÖSUND;34.34;33.33;22.28;10.77;0.28;1.01
04 82  01;FLEN;FLEN, HELGESTA-HYLTINGE;34.34;33.44;22.33;10.77;0.34;0.90
04 82  05;FLEN;DUNKER-LILLA MALMA;34.68;33.42;22.33;10.77;0.32;1.26
04 82  07;FLEN;MELLÖSA;34.96;33.49;22.33;10.77;0.39;1.47
04 82  08;FLEN;BETTNA;34.82;33.46;22.33;10.77;0.36;1.36
04 83  01;KATRINEHOLM;KATRINEHOLMSBYGDEN;34.29;33.24;22.18;10.77;0.29;1.05
04 83  02;KATRINEHOLM;BJÖRKVIK;34.79;33.48;22.18;10.77;0.53;1.31
04 84  02;ESKILSTUNA;ESKILSTUNA;33.95;33.07;22.08;10.77;0.22;0.88
04 84  03;ESKILSTUNA;TORSHÄLLA;34.04;33.10;22.08;10.77;0.25;0.94
04 84  10;ESKILSTUNA;HÄLLBY FÖRS. MED TUMBO OCH RÅBY-REKA;34.30;33.16;22.08;10.77;0.31;1.14
04 84  13;ESKILSTUNA;VÄSTRA REKARNE;34.45;33.21;22.08;10.77;0.36;1.24
04 84  17;ESKILSTUNA;NÄSHULTA;34.14;33.12;22.08;10.77;0.27;1.02
04 84  18;ESKILSTUNA;HUSBY-REKARNE;34.14;33.12;22.08;10.77;0.27;1.02
04 84  20;ESKILSTUNA;STENKVISTA-ÄRLA;34.37;33.16;22.08;10.77;0.31;1.21
04 84  21;ESKILSTUNA;KAFJÄRDEN;34.09;33.25;22.08;10.77;0.40;0.84
04 86  01;STRÄNGNÄS;STRÄNGNÄS DOMKYRKOFÖRS. MED ASPÖ;33.79;32.77;21.73;10.77;0.27;1.02
04 86  04;STRÄNGNÄS;MARIEFRED;33.81;32.70;21.73;10.77;0.20;1.11
04 86  06;STRÄNGNÄS;ÅKER-LÄNNA;34.04;32.75;21.73;10.77;0.25;1.29
04 86  07;STRÄNGNÄS;STALLARHOLMEN;34.14;32.74;21.73;10.77;0.24;1.40
04 86  14;STRÄNGNÄS;VÅRFRUBERGA-HÄRAD;34.27;32.85;21.73;10.77;0.35;1.42
04 88  02;TROSA;TROSA;33.18;32.21;21.26;10.77;0.18;0.97
05 09  02;ÖDESHÖG;ÖDESHÖG;33.77;32.66;21.60;10.70;0.36;1.11
05 12  01;YDRE;NORRA YDRE;34.40;32.87;21.70;10.70;0.47;1.53
05 12  03;YDRE;SUND-SVINHULT;34.40;32.87;21.70;10.70;0.47;1.53
05 12  04;YDRE;VÄSTRA RYD;34.40;32.87;21.70;10.70;0.47;1.53
05 13  01;KINDA;TIDERSRUM;33.435;32.145;20.95;10.70;0.495;1.29
05 13  02;KINDA;KISA;33.435;32.145;20.95;10.70;0.495;1.29
05 13  03;KINDA;VÄSTRA ENEBY;33.435;32.145;20.95;10.70;0.495;1.29
05 13  04;KINDA;HORN;33.435;32.145;20.95;10.70;0.495;1.29
05 13  05;KINDA;HYCKLINGE;33.435;32.145;20.95;10.70;0.495;1.29
05 13  09;KINDA;RIMFORSA;33.48;32.03;20.95;10.70;0.38;1.45
05 60  02;BOXHOLM;BOXHOLM;33.99;32.88;21.82;10.70;0.36;1.11
05 61  01;ÅTVIDABERG;ÅTVID;34.29;33.01;21.95;10.70;0.36;1.28
05 62  01;FINSPÅNG;FINSPÅNG;34.15;33.15;22.15;10.70;0.30;1.00
05 63  01;VALDEMARSVIK;VALDEMARSVIK;34.93;33.58;22.48;10.70;0.40;1.35
05 63  02;VALDEMARSVIK;RINGARUM;34.93;33.58;22.48;10.70;0.40;1.35
05 80  01;LINKÖPING;LINKÖPINGS DOMKYRKOFÖRS.;32.17;31.03;20.20;10.70;0.13;1.14
05 80  02;LINKÖPING;LINKÖPINGS S:T LARS;32.17;31.03;20.20;10.70;0.13;1.14
05 80  03;LINKÖPING;LANDERYD;32.17;31.03;20.20;10.70;0.13;1.14
05 80  04;LINKÖPING;SLAKA;32.251;30.99;20.20;10.70;0.09;1.261
05 80  05;LINKÖPING;KÄRNA;32.28;31.08;20.20;10.70;0.18;1.20
05 80  08;LINKÖPING;VIST;32.52;31.10;20.20;10.70;0.20;1.42
05 80  09;LINKÖPING;VÅRDNÄS;32.52;31.10;20.20;10.70;0.20;1.42
05 80  10;LINKÖPING;SKEDA;32.251;30.99;20.20;10.70;0.09;1.261
05 80  11;LINKÖPING;NYKIL-GAMMALKIL;32.251;30.99;20.20;10.70;0.09;1.261
05 80  12;LINKÖPING;ULRIKA;32.251;30.99;20.20;10.70;0.09;1.261
05 80  18;LINKÖPING;VIKINGSTAD;32.25;31.15;20.20;10.70;0.25;1.10
05 80  19;LINKÖPING;VRETA KLOSTER;32.40;31.19;20.20;10.70;0.29;1.21
05 80  24;LINKÖPING;ÅKERBO;32.40;31.04;20.20;10.70;0.14;1.36
05 80  33;LINKÖPING;LINKÖPINGS BERGA;32.17;31.03;20.20;10.70;0.13;1.14
05 80  34;LINKÖPING;LINKÖPINGS JOHANNELUND;32.17;31.03;20.20;10.70;0.13;1.14
05 80  35;LINKÖPING;LINKÖPINGS SKÄGGETORP;32.17;31.03;20.20;10.70;0.13;1.14
05 80  36;LINKÖPING;LINKÖPINGS RYD;32.17;31.03;20.20;10.70;0.13;1.14
05 80  37;LINKÖPING;GOTTFRIDSBERG;32.17;31.03;20.20;10.70;0.13;1.14
05 81  02;NORRKÖPING;NORRKÖPINGS S:T OLOF;33.62;32.65;21.75;10.70;0.20;0.97
05 81  04;NORRKÖPING;KOLMÅRDEN;33.62;32.65;21.75;10.70;0.20;0.97
05 81  05;NORRKÖPING;NORRKÖPINGS BORG;33.62;32.65;21.75;10.70;0.20;0.97
05 81  06;NORRKÖPING;NORRKÖPINGS S:T JOHANNES;33.62;32.65;21.75;10.70;0.20;0.97
05 81  19;NORRKÖPING;VÄSTRA VIKBOLANDET;34.20;32.75;21.75;10.70;0.30;1.45
05 81  25;NORRKÖPING;ÖSTRA HUSBY;34.32;32.77;21.75;10.70;0.32;1.55
05 81  27;NORRKÖPING;JONSBERG;34.32;32.77;21.75;10.70;0.32;1.55
05 82  01;SÖDERKÖPING;SÖDERKÖPING S:T ANNA;33.58;32.165;21.18;10.70;0.285;1.415
05 82  04;SÖDERKÖPING;ÖSTRA RYD;33.71;32.16;21.18;10.70;0.28;1.55
05 83  01;MOTALA;MOTALA;33.49;32.62;21.70;10.70;0.22;0.87
05 83  03;MOTALA;VÄSTRA NY;33.96;32.76;21.70;10.70;0.36;1.20
05 83  04;MOTALA;GODEGÅRD;33.96;32.76;21.70;10.70;0.36;1.20
05 83  06;MOTALA;BORENSBERG;33.96;32.76;21.70;10.70;0.36;1.20
05 83  07;MOTALA;KLOCKRIKE;33.96;32.76;21.70;10.70;0.36;1.20
05 83  09;MOTALA;FORNÅSA;33.96;32.76;21.70;10.70;0.36;1.20
05 83  22;MOTALA;TJÄLLMO;33.96;32.76;21.70;10.70;0.36;1.20
05 83  24;MOTALA;ASKA, DEL;33.96;32.76;21.70;10.70;0.36;1.20
05 84  01;VADSTENA;VADSTENA;35.14;33.91;22.80;10.70;0.41;1.23
05 84  08;VADSTENA;DAL;35.14;33.91;22.80;10.70;0.41;1.23
05 84  11;VADSTENA;ASKA, DEL;35.06;33.86;22.80;10.70;0.36;1.20
05 86  01;MJÖLBY;MJÖLBY;34.07;32.96;21.90;10.70;0.36;1.11
05 86  03;MJÖLBY;SKÄNNINGE;34.07;32.96;21.90;10.70;0.36;1.11
05 86  12;MJÖLBY;VÄDERSTAD;34.07;32.96;21.90;10.70;0.36;1.11
05 86  14;MJÖLBY;VÄSTRA HARG;34.07;32.96;21.90;10.70;0.36;1.11
05 86  16;MJÖLBY;ÖSTRA TOLLSTAD;34.07;32.96;21.90;10.70;0.36;1.11
05 86  17;MJÖLBY;VIBY;34.07;32.96;21.90;10.70;0.36;1.11
05 86  18;MJÖLBY;VETA;34.07;32.96;21.90;10.70;0.36;1.11
06 04  02;ANEBY;ANEBY;35.10;33.68;22.09;11.26;0.33;1.42
06 04  03;ANEBY;ASKERYD;35.10;33.68;22.09;11.26;0.33;1.42
06 04  05;ANEBY;FRINNARYD;35.10;33.68;22.09;11.26;0.33;1.42
06 04  06;ANEBY;LOMMARYD;35.10;33.68;22.09;11.26;0.33;1.42
06 04  08;ANEBY;HAURIDA-VIREDA;35.10;33.68;22.09;11.26;0.33;1.42
06 17  01;GNOSJÖ;KÄLLERYD;35.17;33.82;22.24;11.26;0.32;1.35
06 17  02;GNOSJÖ;ÅSENHÖGA;35.17;33.82;22.24;11.26;0.32;1.35
06 17  03;GNOSJÖ;KÄVSJÖ;35.17;33.82;22.24;11.26;0.32;1.35
06 17  04;GNOSJÖ;KULLTORP, DEL;35.11;33.81;22.24;11.26;0.31;1.30
06 17  05;GNOSJÖ;GNOSJÖ;34.78;33.72;22.24;11.26;0.22;1.06
06 42  03;MULLSJÖ;MULLSJÖ-SANDHEM;34.60;33.42;21.84;11.26;0.32;1.18
06 43  01;HABO;HABO;34.81;33.63;22.17;11.26;0.20;1.18
06 43  02;HABO;GUSTAV ADOLF;34.81;33.63;22.17;11.26;0.20;1.18
06 43  03;HABO;BRANDSTORP;34.81;33.63;22.17;11.26;0.20;1.18
06 62  01;GISLAVED;GISLAVED;34.86;33.68;22.13;11.26;0.29;1.18
06 62  02;GISLAVED;VÅTHULT;34.86;33.68;22.13;11.26;0.29;1.18
06 62  03;GISLAVED;BOSEBO;34.86;33.68;22.13;11.26;0.29;1.18
06 62  04;GISLAVED;ANDERSTORP;34.86;33.68;22.13;11.26;0.29;1.18
06 62  08;GISLAVED;NORRA HESTRA;34.86;33.68;22.13;11.26;0.29;1.18
06 62  09;GISLAVED;VILLSTAD;34.86;33.68;22.13;11.26;0.29;1.18
06 62  10;GISLAVED;BURSERYD;34.86;33.68;22.13;11.26;0.29;1.18
06 62  16;GISLAVED;VÄSTBO S:T SIGFRID;34.86;33.68;22.13;11.26;0.29;1.18
06 65  01;VAGGERYD;BYARUM-BONDSTORP;33.79;32.70;21.19;11.26;0.25;1.09
06 65  03;VAGGERYD;SKILLINGARYD;33.85;32.74;21.19;11.26;0.29;1.11
06 65  06;VAGGERYD;SVENARUM;33.79;32.70;21.19;11.26;0.25;1.09
06 80  01;JÖNKÖPING;JÖNKÖPINGS SOFIA-JÄRSTORP;33.87;32.86;21.34;11.26;0.26;1.01
06 80  02;JÖNKÖPING;JÖNKÖPINGS KRISTINA-LJUNGARUM;33.87;32.86;21.34;11.26;0.26;1.01
06 80  05;JÖNKÖPING;HUSKVARNA;33.93;32.87;21.34;11.26;0.27;1.06
06 80  06;JÖNKÖPING;HAKARP;33.93;32.87;21.34;11.26;0.27;1.06
06 80  07;JÖNKÖPING;GRÄNNA;34.38;32.95;21.34;11.26;0.35;1.43
06 80  08;JÖNKÖPING;NORRAHAMMAR;33.91;32.71;21.34;11.26;0.11;1.20
06 80  09;JÖNKÖPING;VISINGSÖ;34.38;32.95;21.34;11.26;0.35;1.43
06 80  10;JÖNKÖPING;SKÄRSTAD-ÖLMSTAD;34.15;32.87;21.34;11.26;0.27;1.28
06 80  14;JÖNKÖPING;LEKERYD;34.40;32.90;21.34;11.26;0.30;1.50
06 80  15;JÖNKÖPING;ROGBERGA-ÖGGESTORP;34.26;32.90;21.34;11.26;0.30;1.36
06 80  16;JÖNKÖPING;BARNARP;34.15;32.80;21.34;11.26;0.20;1.35
06 80  17;JÖNKÖPING;ÖDESTUGU;34.15;32.80;21.34;11.26;0.20;1.35
06 80  19;JÖNKÖPING;MÅNSARP;33.95;32.77;21.34;11.26;0.17;1.18
06 80  20;JÖNKÖPING;BANKERYD;34.10;32.77;21.34;11.26;0.17;1.33
06 80  21;JÖNKÖPING;NORRA MO;34.14;32.98;21.34;11.26;0.38;1.16
06 82  01;NÄSSJÖ;NÄSSJÖ;34.65;33.75;22.19;11.26;0.30;0.90
06 82  03;NÄSSJÖ;NORRA SANDSJÖ;34.65;33.75;22.19;11.26;0.30;0.90
06 82  04;NÄSSJÖ;BRINGETOFTA;34.65;33.75;22.19;11.26;0.30;0.90
06 82  05;NÄSSJÖ;NORRA SOLBERGA-FLISBY;35.20;33.80;22.19;11.26;0.35;1.40
06 82  07;NÄSSJÖ;BARKERYD-FORSERUM;34.65;33.75;22.19;11.26;0.30;0.90
06 82  09;NÄSSJÖ;MALMBÄCK;34.65;33.75;22.19;11.26;0.30;0.90
06 82  10;NÄSSJÖ;ALMESÅKRA;34.65;33.75;22.19;11.26;0.30;0.90
06 83  01;VÄRNAMO;VÄRNAMO;33.94;33.00;21.52;11.26;0.22;0.94
06 83  02;VÄRNAMO;BREDARYD;34.39;33.09;21.52;11.26;0.31;1.30
06 83  03;VÄRNAMO;KULLTORP, DEL;34.39;33.09;21.52;11.26;0.31;1.30
06 83  06;VÄRNAMO;FORSHEDABYGDEN;34.58;33.08;21.52;11.26;0.30;1.50
06 83  09;VÄRNAMO;TÅNNÖ;34.70;33.21;21.52;11.26;0.43;1.49
06 83  10;VÄRNAMO;VOXTORP;34.70;33.21;21.52;11.26;0.43;1.49
06 83  11;VÄRNAMO;GÄLLARYD;34.70;33.21;21.52;11.26;0.43;1.49
06 83  12;VÄRNAMO;RYDAHOLM;34.23;33.03;21.52;11.26;0.25;1.20
06 83  13;VÄRNAMO;NYDALA-FRYELE;33.94;33.00;21.52;11.26;0.22;0.94
06 84  01;SÄVSJÖ;SÄVSJÖ;34.75;33.50;21.92;11.26;0.32;1.25
06 84  03;SÄVSJÖ;VRIGSTAD-HYLLETOFTA;34.75;33.50;21.92;11.26;0.32;1.25
06 84  06;SÄVSJÖ;HJÄLMSERYD;34.75;33.50;21.92;11.26;0.32;1.25
06 84  07;SÄVSJÖ;STOCKARYD;34.75;33.50;21.92;11.26;0.32;1.25
06 84  08;SÄVSJÖ;HULTSJÖ;34.75;33.50;21.92;11.26;0.32;1.25
06 85  01;VETLANDA;VETLANDA;34.25;33.00;21.51;11.26;0.23;1.25
06 85  03;VETLANDA;BÄCKSEDA;34.63;33.19;21.51;11.26;0.42;1.44
06 85  04;VETLANDA;NÄSBY;34.25;33.00;21.51;11.26;0.23;1.25
06 85  09;VETLANDA;KORSBERGA;34.63;33.19;21.51;11.26;0.42;1.44
06 85  14;VETLANDA;NYE, NÄSHULT OCH STENBERGA;34.63;33.19;21.51;11.26;0.42;1.44
06 85  15;VETLANDA;ALSEDA;34.69;33.24;21.51;11.26;0.47;1.45
06 85  19;VETLANDA;BJÖRKÖ;34.25;33.00;21.51;11.26;0.23;1.25
06 85  20;VETLANDA;NÄVELSJÖ;34.25;33.00;21.51;11.26;0.23;1.25
06 85  21;VETLANDA;LANNASKEDE;34.24;33.07;21.51;11.26;0.30;1.17
06 86  01;EKSJÖ;EKSJÖ;35.27;33.87;22.26;11.26;0.35;1.40
06 86  02;EKSJÖ;HÄSSLEBY-KRÅKSHULT;35.27;33.87;22.26;11.26;0.35;1.40
06 86  05;EKSJÖ;INGATORP-BELLÖ;35.27;33.87;22.26;11.26;0.35;1.40
06 86  06;EKSJÖ;HULT;35.27;33.87;22.26;11.26;0.35;1.40
06 86  07;EKSJÖ;EDSHULT;35.27;33.87;22.26;11.26;0.35;1.40
06 86  08;EKSJÖ;MELLBY;35.27;33.87;22.26;11.26;0.35;1.40
06 86  09;EKSJÖ;HÖREDA;35.27;33.87;22.26;11.26;0.35;1.40
06 87  01;TRANÅS;SÄBY;33.91;32.91;21.41;11.26;0.24;1.00
06 87  02;TRANÅS;ADELÖV;33.91;32.91;21.41;11.26;0.24;1.00
06 87  03;TRANÅS;LINDERÅS;33.91;32.91;21.41;11.26;0.24;1.00
07 60  01;UPPVIDINGE;ÅSEDA;34.89;33.54;21.61;11.60;0.33;1.35
07 60  03;UPPVIDINGE;LENHOVDA-HERRÅKRA;34.89;33.54;21.61;11.60;0.33;1.35
07 60  04;UPPVIDINGE;NOTTEBÄCK;34.89;33.54;21.61;11.60;0.33;1.35
07 60  05;UPPVIDINGE;ÄLGHULT;34.89;33.54;21.61;11.60;0.33;1.35
07 61  01;LESSEBO;LESSEBO;35.09;33.76;21.81;11.60;0.35;1.33
07 61  02;LESSEBO;HOVMANTORP;35.09;33.76;21.81;11.60;0.35;1.33
07 61  03;LESSEBO;EKEBERGA;35.09;33.76;21.81;11.60;0.35;1.33
07 61  04;LESSEBO;LJUDER;35.09;33.76;21.81;11.60;0.35;1.33
07 63  01;TINGSRYD;TINGSÅS;34.45;33.10;21.07;11.60;0.43;1.35
07 63  02;TINGSRYD;ALMUNDSRYD;34.45;33.10;21.07;11.60;0.43;1.35
07 63  03;TINGSRYD;ÄLMEBODA;34.45;33.10;21.07;11.60;0.43;1.35
07 63  04;TINGSRYD;LINNERYD;34.45;33.10;21.07;11.60;0.43;1.35
07 63  05;TINGSRYD;SÖDRA SANDSJÖ;34.45;33.10;21.07;11.60;0.43;1.35
07 63  06;TINGSRYD;VÄCKELSÅNG;34.45;33.10;21.07;11.60;0.43;1.35
07 63  07;TINGSRYD;URSHULT;34.45;33.10;21.07;11.60;0.43;1.35
07 64  01;ALVESTA;ALVESTA;34.37;33.32;21.42;11.60;0.30;1.05
07 64  05;ALVESTA;MOHEDA;34.66;33.44;21.42;11.60;0.42;1.22
07 64  06;ALVESTA;SLÄTTHÖG;34.66;33.44;21.42;11.60;0.42;1.22
07 64  07;ALVESTA;MISTELÅS;34.66;33.44;21.42;11.60;0.42;1.22
07 64  08;ALVESTA;BLÄDINGE;34.72;33.47;21.42;11.60;0.45;1.25
07 64  09;ALVESTA;VISLANDA;34.72;33.47;21.42;11.60;0.45;1.25
07 64  10;ALVESTA;SKATELÖV;34.77;33.45;21.42;11.60;0.43;1.32
07 64  11;ALVESTA;VÄSTRA TORSÅS;34.77;33.45;21.42;11.60;0.43;1.32
07 65  01;ÄLMHULT;ÄLMHULT;33.94;32.88;20.96;11.60;0.32;1.06
07 65  02;ÄLMHULT;HÄRLUNDA;34.24;32.96;20.96;11.60;0.40;1.28
07 65  03;ÄLMHULT;VIRESTAD;34.24;32.96;20.96;11.60;0.40;1.28
07 65  04;ÄLMHULT;STENBROHULT;34.01;32.80;20.96;11.60;0.24;1.21
07 65  05;ÄLMHULT;GÖTERYD;34.26;32.89;20.96;11.60;0.33;1.37
07 65  06;ÄLMHULT;PJÄTTERYD;34.26;32.89;20.96;11.60;0.33;1.37
07 65  07;ÄLMHULT;HALLARYD;34.26;32.89;20.96;11.60;0.33;1.37
07 67  01;MARKARYD;MARKARYD;34.21;33.16;21.31;11.60;0.25;1.05
07 67  02;MARKARYD;HINNERYD;34.65;33.31;21.31;11.60;0.40;1.34
07 67  03;MARKARYD;TRARYD;34.65;33.31;21.31;11.60;0.40;1.34
07 80  01;VÄXJÖ;VÄXJÖ STADS- OCH DOMKYRKOFÖRS.;33.12;32.07;20.19;11.60;0.28;1.05
07 80  03;VÄXJÖ;SJÖSÅS;33.12;32.07;20.19;11.60;0.28;1.05
07 80  06;VÄXJÖ;DÄDESJÖ;33.12;32.07;20.19;11.60;0.28;1.05
07 80  07;VÄXJÖ;HEMMESJÖ-FURUBY;33.12;32.07;20.19;11.60;0.28;1.05
07 80  08;VÄXJÖ;INGELSTAD;33.12;32.07;20.19;11.60;0.28;1.05
07 80  12;VÄXJÖ;KALVSVIK;33.12;32.07;20.19;11.60;0.28;1.05
07 80  13;VÄXJÖ;TÄVELSÅS;33.12;32.07;20.19;11.60;0.28;1.05
07 80  15;VÄXJÖ;VEDERSLÖV;33.12;32.07;20.19;11.60;0.28;1.05
07 80  16;VÄXJÖ;GEMLA;33.12;32.07;20.19;11.60;0.28;1.05
07 80  18;VÄXJÖ;ÖJABY;33.12;32.07;20.19;11.60;0.28;1.05
07 80  20;VÄXJÖ;GÅRDSBY;33.12;32.07;20.19;11.60;0.28;1.05
07 80  21;VÄXJÖ;SÖRABY;33.12;32.07;20.19;11.60;0.28;1.05
07 80  24;VÄXJÖ;LAMMHULT;33.12;32.07;20.19;11.60;0.28;1.05
07 81  01;LJUNGBY;LJUNGBY;34.12;33.07;21.07;11.60;0.40;1.05
07 81  02;LJUNGBY;AGUNNARYD;34.52;33.07;21.07;11.60;0.40;1.45
07 81  03;LJUNGBY;RYSSBY;34.52;33.07;21.07;11.60;0.40;1.45
07 81  04;LJUNGBY;TUTARYD;34.52;33.07;21.07;11.60;0.40;1.45
07 81  07;LJUNGBY;SÖDRA LJUNGA;34.44;33.09;21.07;11.60;0.42;1.35
07 81  08;LJUNGBY;BERGA;34.57;33.16;21.07;11.60;0.49;1.41
07 81  09;LJUNGBY;DÖRARP;34.57;33.16;21.07;11.60;0.49;1.41
07 81  10;LJUNGBY;VITTARYD;34.57;33.16;21.07;11.60;0.49;1.41
07 81  11;LJUNGBY;ANGELSTAD;34.12;33.07;21.07;11.60;0.40;1.05
07 81  12;LJUNGBY;ANNERSTAD;34.12;33.07;21.07;11.60;0.40;1.05
07 81  14;LJUNGBY;TORPA;34.12;33.07;21.07;11.60;0.40;1.05
07 81  15;LJUNGBY;VRÅ;34.12;33.07;21.07;11.60;0.40;1.05
07 81  16;LJUNGBY;LIDHULT;34.12;33.07;21.07;11.60;0.40;1.05
07 81  17;LJUNGBY;ODENSJÖ;34.12;33.07;21.07;11.60;0.40;1.05
07 81  18;LJUNGBY;BOLMSÖ;34.57;33.16;21.07;11.60;0.49;1.41
07 81  19;LJUNGBY;TANNÅKER;34.57;33.16;21.07;11.60;0.49;1.41
07 81  20;LJUNGBY;LJUNGBY MARIA;34.12;33.07;21.07;11.60;0.40;1.05
08 21  01;HÖGSBY;FÅGELFORS;34.69;33.47;21.71;11.37;0.39;1.22
08 21  02;HÖGSBY;HÖGSBY;34.69;33.47;21.71;11.37;0.39;1.22
08 21  03;HÖGSBY;LÅNGEMÅLA;34.69;33.47;21.71;11.37;0.39;1.22
08 21  04;HÖGSBY;FAGERHULT;34.69;33.47;21.71;11.37;0.39;1.22
08 34  01;TORSÅS;GULLABO;34.33;33.08;21.43;11.37;0.28;1.25
08 34  02;TORSÅS;TORSÅS;34.33;33.08;21.43;11.37;0.28;1.25
08 34  04;TORSÅS;SÖDERÅKRA;34.33;33.08;21.43;11.37;0.28;1.25
08 40  01;MÖRBYLÅNGA;RESMO-VICKLEBY;34.58;33.03;21.41;11.37;0.25;1.55
08 40  03;MÖRBYLÅNGA;MÖRBYLÅNGA-KASTLÖSA;34.58;33.03;21.41;11.37;0.25;1.55
08 40  05;MÖRBYLÅNGA;HULTERSTAD-STENÅSA;34.58;33.03;21.41;11.37;0.25;1.55
08 40  08;MÖRBYLÅNGA;SYDÖLAND;34.58;33.03;21.41;11.37;0.25;1.55
08 40  13;MÖRBYLÅNGA;GLÖMMINGE;34.58;33.03;21.41;11.37;0.25;1.55
08 40  14;MÖRBYLÅNGA;ALGUTSRUM;34.58;33.03;21.41;11.37;0.25;1.55
08 40  15;MÖRBYLÅNGA;TORSLUNDA;34.58;33.03;21.41;11.37;0.25;1.55
08 40  16;MÖRBYLÅNGA;NORRA MÖCKLEBY, SANDBY OCH GÅRDBY;34.58;33.03;21.41;11.37;0.25;1.55
08 60  01;HULTSFRED;HULTSFRED;34.88;33.60;21.91;11.37;0.32;1.28
08 60  02;HULTSFRED;LÖNNEBERGA;34.88;33.60;21.91;11.37;0.32;1.28
08 60  03;HULTSFRED;MÅLILLA MED GÅRDVEDA;34.88;33.60;21.91;11.37;0.32;1.28
08 60  04;HULTSFRED;JÄREDA;34.88;33.60;21.91;11.37;0.32;1.28
08 60  05;HULTSFRED;VIRSERUM;34.88;33.60;21.91;11.37;0.32;1.28
08 60  06;HULTSFRED;VENA;34.88;33.60;21.91;11.37;0.32;1.28
08 60  08;HULTSFRED;MÖRLUNDA-TVETA;34.88;33.60;21.91;11.37;0.32;1.28
08 61  01;MÖNSTERÅS;MÖNSTERÅS;34.12;33.10;21.41;11.37;0.32;1.02
08 61  02;MÖNSTERÅS;FLISERYD;34.12;33.10;21.41;11.37;0.32;1.02
